gauge_id,subdataset,country,gauge_lat,gauge_lon,area,valid_years_streamflow,record_span_years
lamahice_97,lamahice,Iceland,63.672781973151096,-18.41051859663989,44.78807656654196,0.0,0.0
lamahice_90,lamahice,Iceland,63.75364497465266,-18.10960161088898,14.491820069250576,0.0,0.0
lamahice_890,lamahice,Iceland,64.23148314444524,-20.332766023918097,199.50546379551105,0.0,0.0
lamahice_89,lamahice,Iceland,64.23148314444524,-20.332766023918097,823.2676418856659,0.0,0.0
lamahice_87,lamahice,Iceland,64.21172917561667,-19.279131057421115,1408.1399611286895,0.0,0.0
lamahice_74,lamahice,Iceland,64.0738134308794,-18.41056159210104,677.1724027239537,0.0,0.0
lamahice_71,lamahice,Iceland,64.40522078269443,-20.065948783947228,623.7621781736001,0.0,0.0
lamahice_85,lamahice,Iceland,64.23217916584177,-19.188451661430395,45.43738494362172,0.0,0.0
lamahice_81,lamahice,Iceland,64.44922698936391,-18.746191678175936,1226.9367919940485,0.0,0.0
lamahice_75,lamahice,Iceland,63.79299696406545,-18.49299680318965,1423.1445930954078,0.0,0.0
lamahice_100,lamahice,Iceland,64.1681991478759,-19.591151321266626,6308.178293343536,0.0,0.0
lamahice_102,lamahice,Iceland,63.93362085401936,-20.631347279076376,7389.747978112098,0.0,0.0
lamahice_1,lamahice,Iceland,64.53851142678728,-21.69891632355833,188.72690884452544,0.0,0.0
lamahice_76,lamahice,Iceland,63.78198856394384,-18.06700734386911,1622.0839833518933,0.0,0.0
lamahice_78,lamahice,Iceland,64.22394090836039,-15.722721216481654,19.416605955447206,0.0,0.0
camelsch_2217,camelsch,CH,46.13,5.96,10390.190877961408,0.0,0.0
camelsch_2392,camelsch,CH,47.64,8.6,11868.677730231324,0.0,0.0
camelsch_2467,camelsch,CH,46.94,7.24,1876.2585669186408,0.0,0.0
lamahice_7,lamahice,Iceland,65.49006233481927,-19.855248870358626,1662.6590232234091,0.0,0.0
lamahice_35,lamahice,Iceland,63.89879621967559,-17.736717801250684,447.9472359164885,0.0,0.0
lamahice_25,lamahice,Iceland,63.73199806940872,-17.96699550070308,17.21927123618378,0.0,0.0
